Course,Link,Faculty,Institute
Acoustic Instabilities in Aerospace Propulsion,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=101106031,Prof. R.I. Sujith,IIT Madras
Advanced Control System Design for Aerospace Vehicles,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=101108047,Dr. Radhakant Padhi,IISc Bangalore
Aero elasticity,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=101104005,Prof. C. Venkatesan,IIT Kanpur
Aerospace Propulsion,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=101106033,Dr. P.A. Ramakrishna,IIT Madras
Flight Dynamics II (Stability),http://textofvideo.nptel.iitm.ac.in/video.php?courseId=101106042,Dr. Nandan Kumar Sinha,IIT Madras
Foundation of Scientific Computing,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=101104013,Prof. Tapan K. Sengupta,IIT Kanpur
Gas Dynamics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=101106044,Dr. T.M. Muruganandam,IIT Madras
High Speed Aero Dynamics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=101105024,Dr. K.P. Sinhamahapatra,IIT Kharagpur
Instability and Transition of Fluid Flows,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=101104015,Prof. Tapan K. Sengupta,IIT Kanpur
Introduction to Aerodynamics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=101105059,Dr. K.P. Sinhamahapatra,IIT Kharagpur
Introduction to Aerospace Propulsion,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=101101001,Prof. Bhaskar Roy,Prof. A M Pradeep ,IIT Bombay
Introduction to CFD,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=101106045,Prof. M. Ramakrishna,IIT Madras
Introduction to Helicopter Aerodynamics and Dynamics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=101104017,Prof. A.R. Manjunath,Prof. C. Venkatesan,IIT Kanpur
Introduction to Propulsion,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=101104018,Dr. D.P. Mishra,IIT Kanpur
Jet Aircraft Propulsion,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=101101002,Prof. A M Pradeep ,Prof. Bhaskar Roy,IIT Bombay
Jet and Rocket Propulsion,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=101104019,Dr. A. Kushari,IIT Kanpur
NOC:Introduction to airplane performance,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=101104061,Dr. A.K. Ghosh,IIT Kanpur
NOC:Stability and control of aircraft,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=101104062,Dr. A.K. Ghosh,IIT Kanpur
Optimal Control; Guidance and Estimation,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=101108057,Dr. Radhakant Padhi,IISc Bangalore
Space Flight Mechanics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=101105030,Dr. Manoranjan Sinha,IIT Kharagpur
Turbomachinery Aerodynamics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=101101058,Prof. Bhaskar Roy,Prof. A M Pradeep ,IIT Bombay
