Course,Link,Faculty,Institute
Applied mechanics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=122102004,Prof. Sanjeev Sanghi,Prof. R.K. Mittal,IIT Delhi
Basic Electronics and Lab,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=122106025,Prof. T.S. Natarajan,IIT Madras
Classical Physics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=122106027,Prof. V. Balakrishnan,IIT Madras
Concept of Management and Evolution of Management thought,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=122108038,Prof. K.B. Akhilesh,IISc Bangalore
Engineering Chemistry I,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=122106028,Prof. K. Mangala Sunder,IIT Madras
Engineering Mechanics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=122104015,Prof. Manoj K Harbola,IIT Kanpur
Engineering Physics I,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=122107035,Prof. B. K. Patra,Prof.  M. K. Srivastava                                       ,Prof. Rajdeep Chatterjee,Prof. G.D. Verma,IIT Roorkee
Engineering Physics II,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=122104016,Prof. S. Raychaudhuri,Prof. V. Ravishankar,IIT Kanpur
Human Resource Management-I,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=122105020,Prof. Kalyan Chakravarti,IIT Kharagpur
Leadership,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=122105021,Prof. Kalyan Chakravarti,IIT Kharagpur
Management Information System,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=122105022,Prof. Biswajit Mahanty,IIT Kharagpur
Management Science I,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=122102007,Prof. Anuradha Sharma,IIT Delhi
Materials Science,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=122102008,Prof. S.K. Gupta,IIT Delhi
Mathematics I,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=122104017,Dr. P. Shunmugaraj,Prof. Swagato K. Ray,Prof. Shobha Madan,IIT Kanpur
Mathematics II,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=122107036,Prof. H.G. Sharma,Dr. Tanuja Srivastava,Dr. Sunita Gakkhar,IIT Roorkee
Mathematics III,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=122107037,Prof. P.N. Agrawal,Dr. Tanuja Srivastava,IIT Roorkee
Numerical Methods and Computation,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=122102009,Prof. S. R. K. Iyengar,IIT Delhi
Numerical methods and programing,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=122106033,Prof. P.B. Sunil Kumar,IIT Madras
Physics I - Oscillations & Waves,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=122105023,Prof. S. Bharadwaj,IIT Kharagpur
Quantum Physics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=122106034,Prof. V. Balakrishnan,IIT Madras
Strategic Management,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=122105024,Prof. Kalyan Chakravarti,IIT Kharagpur
