Course,Link,Faculty,Institute
Analytical Technologies in Biotechnology,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=102107028,Dr. Ashwani K. Sharma,IIT Roorkee
Animal Physiology,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=102104042,Prof. Mainak Das,IIT Kanpur
Bio electricity,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=102104043,Prof. Mainak Das,IIT Kanpur
Biomathematics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=102101003,Dr. Ranjith Padinhateeri,IIT Bombay
Downstream Processing,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=102106022,Prof. Mukesh Doble,IIT Madras
Enzyme Science and Engineering,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=102102033,Prof. Subhash Chand,IIT Delhi
NOC:Biostatistics and Design of Experiments,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=102106051,Prof. Mukesh Doble,IIT Madras
NOC:Mass spectrometry based proteomics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=102101050,Prof. Sanjeeva Srivastava,IIT Bombay
NOC:Principles of Downstream techniques in Bioprocess,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=102106048,Prof. Mukesh Doble,IIT Madras
NOC:Proteins and Gel-Based Proteomics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=102101049,Prof. Sanjeeva Srivastava,IIT Bombay
Proteomics: Principles and Techniques,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=102101007,Prof. Sanjeeva Srivastava,IIT Bombay
Thermodynamics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=102106026,Prof. G.K. Suraishkumar,IIT Madras
