Branch,Link,Number of PDFs,Number of Videos,Number of MP3s
Aerospace Engineering,http://textofvideo.nptel.iitm.ac.in/indiv_courses.php?id=101,14,21,21
Atmospheric Science,http://textofvideo.nptel.iitm.ac.in/indiv_courses.php?id=119,1,3,3
Basic courses(Sem 1 and 2),http://textofvideo.nptel.iitm.ac.in/indiv_courses.php?id=122,18,21,21
Biotechnology,http://textofvideo.nptel.iitm.ac.in/indiv_courses.php?id=102,8,12,12
Chemical Engineering,http://textofvideo.nptel.iitm.ac.in/indiv_courses.php?id=103,24,33,33
Chemistry and Biochemistry,http://textofvideo.nptel.iitm.ac.in/indiv_courses.php?id=104,14,19,20
Civil Engineering,http://textofvideo.nptel.iitm.ac.in/indiv_courses.php?id=105,41,50,49
Computer Science and  Engineering,http://textofvideo.nptel.iitm.ac.in/indiv_courses.php?id=106,40,60,58
Electrical Engineering,http://textofvideo.nptel.iitm.ac.in/indiv_courses.php?id=108,35,43,42
Electronics & Communication Engineering,http://textofvideo.nptel.iitm.ac.in/indiv_courses.php?id=117,37,54,53
Engineering Design,http://textofvideo.nptel.iitm.ac.in/indiv_courses.php?id=107,1,3,3
General,http://textofvideo.nptel.iitm.ac.in/indiv_courses.php?id=121,1,4,4
Humanities and Social Sciences,http://textofvideo.nptel.iitm.ac.in/indiv_courses.php?id=109,18,35,35
Management,http://textofvideo.nptel.iitm.ac.in/indiv_courses.php?id=110,16,27,26
Mathematics,http://textofvideo.nptel.iitm.ac.in/indiv_courses.php?id=111,21,36,35
Mechanical Engineering,http://textofvideo.nptel.iitm.ac.in/indiv_courses.php?id=112,43,74,73
Metallurgy and Material Science,http://textofvideo.nptel.iitm.ac.in/indiv_courses.php?id=113,15,23,23
Mining Engineering,http://textofvideo.nptel.iitm.ac.in/indiv_courses.php?id=123,1,1,1
Nanotechnology,http://textofvideo.nptel.iitm.ac.in/indiv_courses.php?id=118,2,2,3
Ocean Engineering,http://textofvideo.nptel.iitm.ac.in/indiv_courses.php?id=114,16,22,22
Physics,http://textofvideo.nptel.iitm.ac.in/indiv_courses.php?id=115,13,23,23
Textile Engineering,http://textofvideo.nptel.iitm.ac.in/indiv_courses.php?id=116,2,2,2
