Course,Link,Faculty,Institute
Advanced Chemical Reaction Engineering (PG),http://textofvideo.nptel.iitm.ac.in/video.php?courseId=103101001,Prof. H.S. Shankar,IIT Bombay
Advanced Mathematical Techniques in Chemical Engineering,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=103105106,Prof. S. De,IIT Kharagpur
Advanced Numerical Analysis,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=103101111,Prof. Sachin C. Patwardhan,IIT Bombay
Advanced Process Control,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=103101003,Prof. Sachin C. Patwardhan,IIT Bombay
Biochemical Engineering,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=103105054,Dr. Rintu Banerjee,Dr. Saikat Chakraborty,IIT Kharagpur
Chemical Engineering Principles of CVD Processes,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=103106115,Dr. R. Nagarajan,IIT Madras
Chemical Engineering Thermodynamics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=103106070,Prof. M.S. Ananth,IIT Madras
Chemical Reaction Engineering,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=103108097,Prof. Jayant M Modak,IISc Bangalore
Chemical Reaction Engineering II,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=103101008,Prof. A.K. Suresh,Prof. Sanjay M. Mahajani,Prof. Ganesh A. Viswanathan,IIT Bombay
Chemical Technology - I,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=103107081,Dr. I.D.Mall,IIT Roorkee
Computational Fluid Dynamics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=103106073,Prof. Sreenivas Jayanti,IIT Madras
Computational Techniques,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=103106074,Dr. Niket S.Kaisare,IIT Madras
Fluid Mechanics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=103104044,Dr. V. Shankar,IIT Kanpur
Fundamentals of Transport Processes,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=103108098,Prof. V. Kumaran,IISc Bangalore
Fundamentals of Transport Processes - II,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=103108099,Prof. V. Kumaran,IISc Bangalore
Heterogeneous Catalysis and Catalytic Processes,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=103102012,Dr. K.K. Pant ,IIT Delhi
Instability and Patterning of Thin Polymer Films,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=103105066,Dr. R. Mukherjee,IIT Kharagpur
Mass Transfer II,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=103104046,Prof. Nishith Verma,IIT Kanpur
Mass Transfer Operations I,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=103103034,Dr. B. Mandal,IIT Guwahati
Microscale Transport Processes,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=103105057,Prof. S. Dasgupta,Dr. Somnath Ganguly,IIT Kharagpur
Modern Instrumental Methods of Analysis,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=103108100,Dr. J.R. Mudakavi,IISc Bangalore
Multiphase Flow,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=103105059,Prof. Gargi Das,Prof. P.K. Das,IIT Kharagpur
Multiphase flows:Analytical solutions and Stability Analysis,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=103106113,Prof. S.Pushpavanam,IIT Madras
NOC:Computational Fluid Dynamics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=103106119,Prof. Sreenivas Jayanti,IIT Madras
NOC:Introduction to Time-Frequency Analysis and Wavelet Transforms,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=103106114,Dr. Arun K.Tangirala,IIT Madras
NOC:MATLAB Programming for Numerical Computation(Course sponsored by Aricent),http://textofvideo.nptel.iitm.ac.in/video.php?courseId=103106118,Dr. Niket S.Kaisare,IIT Madras
Novel Separation Processes,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=103105061,Prof. S. De,IIT Kharagpur
Particle Characterization (PG),http://textofvideo.nptel.iitm.ac.in/video.php?courseId=103106103,Dr. R. Nagarajan,IIT Madras
Plantwide Control of Chemical Processes,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=103104050,Dr. Nitin Kaistha,IIT Kanpur
Process Control and Instrumentation,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=103105064,Dr. D. Sarkar,Dr. A.K. Jana,IIT Kharagpur
Process Design Decisions and Project Economics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=103103039,Dr. Vijay S. Moholkar,IIT Guwahati
Process Integration,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=103107093,Dr. B. Mohanty,IIT Roorkee
Statistics for  Experimentalists,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=103106112,Dr. A. Kannan ,IIT Madras
