Course,Link,Faculty,Institute
Advance Analytical Course,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=104104066,Dr. Padma S Vankar,IIT Kanpur
Bio-inorganic chemistry,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=104105031,Prof. D. Ray,IIT Kharagpur
BioChemistry I,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=102105034,Prof. S. Dasgupta,IIT Kharagpur
Chemistry of Materials,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=104104011,Prof. S. Sundar Manoharan,IIT Kanpur
Co-ordination chemistry (chemistry of transition elements),http://textofvideo.nptel.iitm.ac.in/video.php?courseId=104105033,Prof. D. Ray,IIT Kharagpur
Essentials in Immunolgy,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=104108055,Dr. Dipankar Nandi,Dr. R. Manjunath,Prof. Anjali Karande,IISc Bangalore
Eukaryotic Gene Expression - basics and benefits,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=104108056,Prof. P.N. Rangarajan,IISc Bangalore
Heterocyclic Chemistry,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=104105034,Prof. D.R. Mal,IIT Kharagpur
Introduction to Organometallic Chemistry,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=104108062,Prof. A.G. Samuelson,IISc Bangalore
Introductory Quantum Chemistry,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=104108057,Prof. K.L. Sebastian,IISc Bangalore
Mathematics for Chemistry,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=104104026,Dr. P.P. Thankachan,Dr. Madhav Ranganathan ,IIT Kanpur
NOC:Application of Spectroscopic Methods in Molecular Structure Determination,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=104106075,Prof. S. Sankararaman,IIT Madras
NOC:Biochemistry,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=104105076,Prof. S. Dasgupta,IIT Kharagpur
NOC:Chemistry - I,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=104106072,Prof. K. Mangala Sunder,IIT Madras
NOC:Chemistry - II,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=104106074,Prof. K. Mangala Sunder,IIT Madras
Organic photochemistry and pericyclic reactions,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=104105038,Dr. N.D. Pradeep Singh,IIT Kharagpur
Polymer Chemistry,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=104105039,Dr. D. Dhara,IIT Kharagpur
Principles and Applications of Electron Paramagnetic Resonance Spectroscopy,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=104106048,Prof. Ranjan Das,IIT Madras
Rate processes,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=104105041,Dr. M. Halder,IIT Kharagpur
