Course,Link,Faculty,Institute
Advanced Foundation Engineering,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=105105039,Dr. Kousik Deb,IIT Kharagpur
Advanced Geotechnical Engineering,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=105101001,Dr. B.V.S. Viswanadham,IIT Bombay
Advanced Hydraulics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=105103021,Dr. Suresh A Kartha,IIT Guwahati
Advanced Hydrology,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=105104029,Dr. Ashu Jain,IIT Kanpur
Advanced Structural Analysis,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=105106050,Prof. Devdas Menon,IIT Madras
Application of Soil Mechanics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=105104135,Dr. Nihar Ranjan Patra,IIT Kanpur
Civil Engineering - Building materials and Construction,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=105102088,Dr. B. Bhattacharjee,IIT Delhi
Concrete Engineering and Technology,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=105104030,Dr. Sudhir Misra,IIT Kanpur
Concrete Technology,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=105102012,Dr. B. Bhattacharjee,IIT Delhi
Design of Reinforced Concrete Structures,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=105105105,Prof. N. Dhang,IIT Kharagpur
Design of Steel Structures,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=105103094,Prof. Damodar Maity,IIT Guwahati
Engineering Geology,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=105105106,Dr. Debasis Roy,IIT Kharagpur
Environmental Air Pollution,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=105104099,Prof. Mukesh Sharma,IIT Kanpur
Finite Element Analysis,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=105106051,Dr. B.N. Rao,IIT Madras
Fluid Mechanics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=105101082,Dr. T.I. Eldho,IIT Bombay
Foundation Engineering,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=105107120,Prof. N.K. Samadhiya,Prof. Mahendra Singh,Prof. Priti Maheswari,IIT Roorkee
Geosynthetics and Reinforced Soil Structures,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=105106052,Dr. K. Rajagopal,IIT Madras
Geosynthetics Engineering: In Theory and Practice,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=105101143,Prof. J. N. Mandal,IIT Bombay
Geotechnical Earthquake Engineering,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=105101134,Dr. Deepankar Choudhury,IIT Bombay
Geotechnical Measurements & Explorations,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=105104131,Dr. Nihar Ranjan Patra,IIT Kanpur
Ground Improvement Techniques,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=105108075,Dr. G.L. Sivakumar Babu,IISc Bangalore
Ground Water Hydrology,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=105105042,Dr. Anirban Dhar,Dr. V.R. Desai,IIT Kharagpur
Hydraulics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=105103096,Prof. Arup Kumar Sharma,IIT Guwahati
Introduction to Transportation Engineering,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=105105107,Dr. K.S. Reddy,Dr. Bhargab Maitra,IIT Kharagpur
Mechanics of solids,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=105106116,Prof. M.S. Sivakumar,IIT Madras
Modern Construction Materials,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=105106053,Dr. Ravindra Gettu,IIT Madras
Modern Surveying Techniques,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=105107121,Prof. S.K. Ghosh,IIT Roorkee
NOC:Engineering Graphics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=105104148,Dr. Nihar Ranjan Patra,IIT Kanpur
NOC:Geology and Soil Mechanics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=105104147,Dr. Priyanka Ghosh,IIT Kanpur
NOC:Probability Methods in Civil Engineering,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=105105150,Dr. Rajib Maity,IIT Kharagpur
NOC:Project Planning & Control(Course sponsored by Aricent),http://textofvideo.nptel.iitm.ac.in/video.php?courseId=105106149,Dr. Koshy Varghese,IIT Madras
NOC:Sustainable River Basin Management,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=105106145,Dr. Franziska Steinbruch,IIT Madras
Numerical Methods in Civil Engineering,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=105105043,Dr. A. Deb,IIT Kharagpur
Pre-stressed Concrete Structures,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=105106118,Prof. Devdas Menon,Dr. Amlan Kumar Sengupta,IIT Madras
Probability Methods in Civil Engineering,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=105105045,Dr. Rajib Maity,IIT Kharagpur
Seismic Analysis of Structures,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=105102016,Dr. T.K. Datta,Dr. Ashok Gupta,IIT Delhi
Soil Dynamics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=105101005,Dr. Deepankar Choudhury,IIT Bombay
Soil Mechanics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=105101084,Dr. B.V.S. Viswanadham,IIT Bombay
Stochastic Hydrology,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=105108079,Prof. P.P. Mujumdar,IISc Bangalore
Stochastic Structural Dynamics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=105108080,Prof. C.S. Manohar,IISc Bangalore
Strength of Materials,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=105105108,Prof. S.K. Bhattacharyya,IIT Kharagpur
Structural Analysis II,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=105101086,Dr. P. Banerji,IIT Bombay
Structural Dynamics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=105101006,Dr. P. Banerji,IIT Bombay
Surveying,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=105104101,Dr. Bharat Lohani,IIT Kanpur
Transportation Engineering II,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=105107123,Prof. Rajat Rastogi,IIT Roorkee
Urban transportation planning,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=105106058,Dr. V. Thamizh Arasan,IIT Madras
Water and Waste Water Engineering,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=105106119,Prof. C. Venkobachar,Prof. Ligy Philip,Prof. B.S. Murty,IIT Madras
Water Resources Engineering,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=105104103,Dr. Pranab K Mohapatra,Prof. Rajesh Srivastava,IIT Kanpur
Water Resources Systems : Modeling Techniques and Analysis,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=105108130,Prof. P.P. Mujumdar,IISc Bangalore
Watershed Management,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=105101010,Dr. T.I. Eldho,IIT Bombay
