Course,Link,Faculty,Institute
Artificial Intelligence,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=106105077,Prof. S. Sarkar,Prof. Anupam Basu,IIT Kharagpur
Artificial Intelligence,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=106106126,Prof. Deepak Khemani,IIT Madras
Artificial Intelligence(Prof.P.Dasgupta),http://textofvideo.nptel.iitm.ac.in/video.php?courseId=106105079,Prof. P. Dasgupta,IIT Kharagpur
Biometrics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=106104119,Prof. Phalguni Gupta,IIT Kanpur
Combinatorics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=106108051,Dr. L. Sunil Chandran,IISc Bangalore
Compiler Design,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=106104123,Prof. Sanjeev K Aggarwal,IIT Kanpur
Compiler Design,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=106108052,Prof. Y.N. Srikanth,IISc Bangalore
Computational Geometry,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=106102011,Prof. Sandeep Sen,IIT Delhi
Computer Algorithms - 2,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=106104019,Prof. Shashank K. Mehta,IIT Kanpur
Computer Architecture,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=106102062,Prof. Anshul Kumar,IIT Delhi
Computer Architecture,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=106104122,Dr. Mainak Chaudhuri,IIT Kanpur
Computer Graphics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=106106090,Prof. Sukhendu Das,IIT Madras
Computer Networks,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=106105081,Prof. Sujoy Ghosh,IIT Kharagpur
Computer Organization,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=106106092,Prof. S. Raman,IIT Madras
Cryptography and Network Security,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=106105031,Dr. Debdeep Mukhopadhyay,IIT Kharagpur
Data Communication,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=106105082,Prof. Ajit Pal,IIT Kharagpur
Data Structures And Algorithms,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=106102064,Prof. Naveen Garg,IIT Delhi
Database Design,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=106106093,Dr. S. Srinath,Prof. D. Janaki Ram,IIT Madras
Design and Analysis of Algorithms,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=106101060,Prof. Abhiram G Ranade,Prof. Sundar Viswanathan,Prof. Ajit A Diwan,IIT Bombay
Design Verification and Test of Digital VLSI Circuits,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=106103116,Dr. Santosh Biswas,Prof. Jatindra Kumar Deka,IIT Guwahati
