Course,Link,Faculty,Institute
Advanced Control Systems,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=108103007,Prof. S. Majhi,IIT Guwahati
Advanced Electric Drives,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=108104011,Dr. S.P. Das,IIT Kanpur
An Introduction to Electronics Systems Packaging,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=108108031,Prof. G.V. Mahesh,IISc Bangalore
Analog ICs,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=108106068,Prof. K. Radhakrishna Rao,IIT Madras
Basic Electrical Technology,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=108108076,Prof. L. Umanand,IISc Bangalore
Chaos; Fractals & Dynamic Systems,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=108105054,Prof. S. Banerjee,IIT Kharagpur
Circuit Theory,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=108102042,Prof. S.C. Dutta Roy,IIT Delhi
Control Engineering,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=108101037,Prof. S.D. Agashe,IIT Bombay
Control Engineering,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=108102043,Prof. M. Gopal,IIT Delhi
Digital Integrated Circuits,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=108106069,Prof. Amitava Dasgupta,IIT Madras
Digital Signal Processing,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=108105055,Prof. T.K. Basu,IIT Kharagpur
Dynamics of Physical Systems,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=108105056,Prof. S. Banerjee,IIT Kharagpur
Electrical Machines -I,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=108105017,Dr. D.Kastha,IIT Kharagpur
Electromagnetic Fields,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=108106073,Prof. Harishankar Ramachandran,IIT Madras
Embedded Systems,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=108102045,Prof. Santanu Chaudhary,IIT Delhi
Energy Resources & Technology,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=108105058,Prof. S. Banerjee,IIT Kharagpur
Estimation of Signals and Systems,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=108105059,Prof. S. Mukhopadhyay,IIT Kharagpur
Fabrication of Silicon  VLSI Circuits using the MOS technology,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=108101089,Prof. A.N. Chandorkar,IIT Bombay
High Voltage DC Transmission,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=108104013,Dr. S.N. Singh,IIT Kanpur
Illumination Engineering,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=108105060,Prof. N.K. Kishore,IIT Kharagpur
Industrial Automation and Control,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=108105062,Prof. S. Sen,Prof. S. Mukhopadhyay,IIT Kharagpur
Industrial Drives - Power Electronics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=108108077,Prof. K. Gopakumar,IISc Bangalore
Industrial Instrumentation,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=108105064,Prof. Alok Barua,IIT Kharagpur
Intelligent Systems and Control,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=108104049,Prof. Laxmidhar Behera,IIT Kanpur
Modelling and Analysis of Electric Machines,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=108106023,Dr. Krishna Vasudevan,IIT Madras
Networks and Systems,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=108106075,Prof. V.G.K. Murti,IIT Madras
Networks Signals and Systems,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=108105065,Prof. T.K. Basu,IIT Kharagpur
NOC:Analog Circuits,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=108106084,Dr. Nagendra Krishnapura ,IIT Madras
NOC:Electromagnetic theory,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=108104087,Dr. Pradeep Kumar K,IIT Kanpur
NOC:Industrial Automation and Control(Course sponsored by Aricent),http://textofvideo.nptel.iitm.ac.in/video.php?courseId=108105088,Prof. S. Mukhopadhyay,IIT Kharagpur
NOC:Introduction to Non Linear Dynamics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=108106085,Prof. Gaurav Raina,IIT Madras
Nonlinear Dynamical Systems,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=108101002,Prof. Madhu N.Belur,Prof. Harish K. Pillai,IIT Bombay
Optimal Control,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=108105019,Prof. G.D. Ray,IIT Kharagpur
Power Electronics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=108101038,Prof. Kishore Chatterjee,Prof. B.G. Fernandes,IIT Bombay
Power Electronics and Distributed Generation,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=108108034,Dr. Vinod John,IISc Bangalore
Power System Analysis,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=108105067,Prof. A.K. Sinha,IIT Kharagpur
Power System Dynamics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=108102080,Dr. M.L. Kothari,IIT Delhi
Power System Dynamics and Control,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=108101004,Dr. A.M. Kulkarni,IIT Bombay
Power System Generation; Transmission and Distribution (Encapsulated from earlier Video),http://textofvideo.nptel.iitm.ac.in/video.php?courseId=108102047,Prof. D.P. Kothari,IIT Delhi
Power Systems Operation and Control,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=108104052,Dr. S.N. Singh,IIT Kanpur
Probability Foundation for Electrical Engineers,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=108106083,Dr. Krishna Jagannathan,IIT Madras
Pulse width Modulation for Power Electronic Converters,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=108108035,Dr. G. Narayanan,IISc Bangalore
Switched Mode Power Conversion,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=108108036,Prof. L. Umanand,Prof. V. Ramanarayanan,IISc Bangalore
