Course,Link,Faculty,Institute
CMOS Analog VLSI Design,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=117101105,Prof. A.N. Chandorkar,IIT Bombay
Adaptive Signal Processing,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=117105075,Prof. Mrityunjoy Chakraborty,IIT Kharagpur
Adv. Digital Signal Processing - Multirate and wavelets,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=117101001,Prof. V.M. Gadre,IIT Bombay
Advanced 3G and 4G Wireless Mobile Communications,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=117104099,Prof. Aditya K. Jagannatham,IIT Kanpur
Advanced Logic Synthesis,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=117106109,Dhiraj Taneja,IIT Madras
Advanced Optical Communication,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=117101002,Prof. R.K. Shevgaonkar,IIT Bombay
Advanced VLSI Design,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=117101004,Prof. Sachin Patkar,Prof. A.N. Chandorkar,Prof. Virendra Singh,Prof. D.K. Sharma,IIT Bombay
Analog Circuits,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=117101106,Prof. A.N. Chandorkar,IIT Bombay
Analog Circuits and Systems 1,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=117108107,Prof. K. Radhakrishna Rao,IISc Bangalore
Analog IC Design,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=117106030,Dr. Nagendra Krishnapura ,IIT Madras
ARM Based Development,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=117106111,S.Chandramouleeswaran,IIT Madras
Basic Electrical Circuits,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=117106101,Dr. Nagendra Krishnapura ,IIT Madras
Basic Electronics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=117103063,Prof. Chitralekha Mahanta,IIT Guwahati
Broadband Networks: Concepts and Technology,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=117101050,Prof. Abhay Karandikar,IIT Bombay
Circuits for Analog System Design,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=117108038,Prof. M.K. Gunasekaran,IISc Bangalore
Coding Theory,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=117106031,Dr. Andrew Thangaraj,IIT Madras
Communication Engineering,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=117102059,Prof. Surendra Prasad,IIT Delhi
Digital Circuits and Systems,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=117106086,Prof. S. Srinivasan,IIT Madras
Digital Communication,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=117101051,Prof. Bikash Kumar Dey,IIT Bombay
Digital Computer Organization,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=117105078,Prof. P.K. Biswas,IIT Kharagpur
Digital Image Processing,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=117105079,Prof. P.K. Biswas,IIT Kharagpur
Digital Signal Processing,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=117102060,Prof. S.C. Dutta Roy,IIT Delhi
Digital Switching,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=117104104,Prof. Yatindra N Singh,IIT Kanpur
Digital System design with PLDs and FPGAs,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=117108040,Prof. Kuruvilla Varghese,IISc Bangalore
Digital Systems Design,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=117105080,Prof. D. Roychoudhury,IIT Kharagpur
Digital Voice & Picture Communication,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=117105081,Prof. Somnath Sengupta,IIT Kharagpur
Electronics for Analog Signal Processing - I,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=117106087,Prof. K. Radhakrishna Rao,IIT Madras
Electronics for Analog Signal Processing - II,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=117106088,Prof. K. Radhakrishna Rao,IIT Madras
Embedded Software Testing,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=117106112,MADHUKESHWARA H M  ,IIT Madras
Error Correcting Codes,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=117108044,Prof. P. Vijay Kumar,IISc Bangalore
High Speed Devices and Circuits,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=117106089,Prof. K.N. Bhat,IIT Madras
Information Theory and Coding,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=117101053,Prof. S.N. Merchant,IIT Bombay
Linux Programming & Scripting,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=117106113,Anand Iyer,IIT Madras
MEMS and Microsystems,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=117105082,Prof. Santiram Kal,IIT Kharagpur
Neural Networks and Applications,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=117105084,Prof. Somnath Sengupta,IIT Kharagpur
