Course,Link,Faculty,Institute
Aspects of Western Philosophy,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=109106052,Dr. Sreekumar Nellickappilly ,IIT Madras
Better Spoken English,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=109106067,Prof. Shreesh Chaudhary,IIT Madras
Communication Skills,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=109104031,Dr. T. Ravichandran,IIT Kanpur
Contemporary Issues in Philosophy of Mind & Cognition,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=109101004,Dr. Rajakishore Nath,Dr. Ranjan K.Panda,IIT Bombay
Contemporary Literature,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=109106053,Dr. Aysha Iqbal Viswamohan,IIT Madras
Cultural Studies,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=109103019,Dr. Liza Das,IIT Guwahati
English Language and Literature,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=109103020,Dr. Krishna Barua,Dr. Liza Das,IIT Guwahati
Ethics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=109104032,Dr. Vineet Sahu,IIT Kanpur
Game Theory and Economics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=109103021,Dr. Debarshi Das,IIT Guwahati
History of Economic Theory,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=109106058,Prof. S.S.SivaKumar,IIT Madras
Human Adjustment Processes,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=109104081,Braj Bhushan,IIT Kanpur
Indian Philosophy,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=109106059,Dr. Satya Sundar Sethy,IIT Madras
International Economics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=109104035,Dr. Somesh K. Mathur,IIT Kanpur
Introduction to Film Studies,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=109106079,Dr. Aysha Iqbal Viswamohan,IIT Madras
Introduction to Logic,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=109104040,Dr. A.V. Ravishankar Sarma,IIT Kanpur
Introduction to Modern Linguistics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=109106080,Prof. Shreesh Chaudhary,Prof. Rajesh Kumar,IIT Madras
Introduction to Sociology,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=109104074,Prof. A.K. Sharma,IIT Kanpur
Macro Economics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=109104073,Prof.Surajit Sinha,IIT Kanpur
Money & Banking,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=109104076,Prof.Surajit Sinha,IIT Kanpur
NOC: Film Appreciation,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=109106086,Dr. Aysha Iqbal Viswamohan,IIT Madras
NOC:Appreciating carnatic music,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=109106087,Dr. Lakshmi Sreeram,IIT Madras
NOC:Brief introduction to Psychology,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=109104093,Braj Bhushan,IIT Kanpur
NOC:Elements of Visual Representation,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=109104088,Dr. Shatarupa Thakurta Roy,IIT Kanpur
NOC:Health Research Fundamentals,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=109106095,Dr. Tarun Bhatnagar,Dr. P. Manickam,Dr. Sanjay Mehendale,Dr. R Ramakrishnan,Dr. Prabhdeep Kaur,Dr. P GaneshKumar,Dr. Manoj V Murhekar,IIT Madras
NOC:Infrastructure Economics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=109106089,Prof.Nalin Bharti,IIT Madras
NOC:Issues in Bioethics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=109106092,Dr. Sreekumar Nellickappilly ,IIT Madras
NOC:Language and Mind,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=109106085,Prof. Rajesh Kumar,IIT Madras
NOC:Language and society,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=109106091,Prof. Rajesh Kumar,IIT Madras
NOC:Literary Criticism and Literary Theory,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=109106084,Dr. Aysha Iqbal Viswamohan,IIT Madras
NOC:Practical English: Learning and Teaching(Course sponsored by Aricent),http://textofvideo.nptel.iitm.ac.in/video.php?courseId=109104090,Dr. Bhaskar Dasgupta,IIT Kanpur
NOC:Technical English for Engineers(Course sponsored by Aricent),http://textofvideo.nptel.iitm.ac.in/video.php?courseId=109106094,Dr. Aysha Iqbal Viswamohan,IIT Madras
Population and Society,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=109104045,Prof. A.K. Sharma,IIT Kanpur
Principles and Parameters in Natural Language,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=109106083,Prof. Rajesh Kumar,IIT Madras
Selected Topics in Psychology,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=109104082,Girishwar Misra,Vivek Benegal,JBP Sinha,Ramadhar Singh,Ajit Dalal,Alok Bajpai,Braj Bhushan,Rakesh K. Gupta,Manas K Mandal,IIT Kanpur
Understanding Creativity and Creative Writing,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=109101017,Prof. Neelima Talwar,IIT Bombay
