Course,Link,Faculty,Institute
A Basic Course in Real Analysis,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=111105069,Prof. P.D. Srivastava,IIT Kharagpur
Advanced Complex Analysis - Part 1:Zeros of Analytic Functions;Analytic continuation; Monodromy; Hyperbolic Geometry and the Reimann Mapping Theorem,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=111106084,Dr. T.E. Venkata Balaji,IIT Madras
Advanced Engineering Mathematics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=111105035,Prof. J. Kumar,Dr. P. Panigrahi,Prof. Somesh Kumar,Prof. P.D. Srivastava,IIT Kharagpur
Advanced Matrix Theory and Linear Algebra for Engineers,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=111108066,Prof. Vittal Rao,IISc Bangalore
An Introduction to Riemann Surfaces and Algebraic Curves: Complex 1-Tori and Elliptic 

Curves,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=111106044,Dr. T.E. Venkata Balaji,IIT Madras
Applied Multivariate Analysis,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=111104024,Dr. Amit Mitra,Dr. Sharmishtha Mitra,IIT Kanpur
Calculus of Variations and Integral Equations,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=111104025,Dr. Malay Banerjee,Prof. D. Bahuguna,IIT Kanpur
Complex Analysis,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=111103070,Prof. P. A. S. Sree Krishna,IIT Guwahati
Convex Optimization,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=111104068,Dr. Joydeep Dutta ,IIT Kanpur
Discrete Mathematics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=111107058,Dr. Sugata Gangopadhyay,Dr. Aditi Gangopadhyay,IIT Roorkee
Dynamic Data Assimilation: an introduction,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=111106082,Prof. S. Lakshmivarahan,IIT Madras
Elementary Numerical Analysis,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=111101003,Prof. Rekha P. Kulkarni,IIT Bombay
Formal Languages and Automata Theory,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=111103016,Dr. Diganta Goswami,Dr. K.V. Krishna,IIT Guwahati
Foundations of Optimization,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=111104071,Dr. Joydeep Dutta ,IIT Kanpur
Functional Analysis,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=111105037,Prof. P.D. Srivastava,IIT Kharagpur
Linear Algebra,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=111106051,Dr. K.C. Sivakumar ,IIT Madras
Linear programming and Extensions,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=111104027,Prof. Prabha Sharma,IIT Kanpur
Mathematical Logic,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=111106052,Prof. Arindama Singh,IIT Madras
Mathematics in India - From Vedic Period to Modern Times,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=111101080,Prof.M.S.Sriram,Prof.K.Ramasubramanian,Prof. M.D.Srinivas ,IIT Bombay
Measure and Integration,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=111101005,Prof. Inder K Rana,IIT Bombay
NOC:An invitation to mathematics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=111106083,Prof. Sankaran Vishwanath,IIT Madras
NOC:Applied Multivariate Statistical Modeling,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=111105091,Dr J Maiti,IIT Kharagpur
NOC:Basic Calculus for Engineers; Scientists and Economists,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=111104085,Dr. Joydeep Dutta ,IIT Kanpur
NOC:Discrete Mathematics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=111106086,Prof. Sourav Chakraborty,IIT Madras
NOC:Probability and Statistics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=111105090,Prof. Somesh Kumar,IIT Kharagpur
NOC:Probability and Stochastics for finance,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=111104089,Dr. Joydeep Dutta ,IIT Kanpur
Numerical methods of Ordinary and Partial Differential Equations,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=111105038,Dr. G.P. Raja Sekhar,IIT Kharagpur
Optimization,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=111105039,Prof. A. Goswami,Dr. Debjani Chakraborty,IIT Kharagpur
Ordinary Differential Equations and Applications,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=111108081,Raju K. George,A. K. Nandakumaran,P. S. Datti,IISc Bangalore
Probability and Statistics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=111105041,Prof. Somesh Kumar,IIT Kharagpur
Probability Theory and Applications,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=111104079,Prof. Prabha Sharma,IIT Kanpur
Real Analysis,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=111106053,Prof. S.H. Kulkarni,IIT Madras
Regression Analysis,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=111105042,Dr. Soumen Maity,IIT Kharagpur
Statistical Inference,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=111105043,Prof. Somesh Kumar,IIT Kharagpur
Statistical Methods for Scientists and Engineers,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=111105077,Prof. Somesh Kumar,IIT Kharagpur
Stochastic Processes,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=111102014,Dr. S. Dharmaraja,IIT Delhi
