Course,Link,Faculty,Institute
Acoustics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112104026,Prof. Nachiketa Tiwari,IIT Kanpur
Advanced Finite Elements Analysis,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112106130,Dr. R. Krishnakumar,IIT Madras
Advanced Gas Dynamics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112106056,Dr. Rinku Mukherjee ,IIT Madras
Advanced Machining Processes,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112104028,Prof. Vijay K. Jain,IIT Kanpur
Advanced manufacturing process for micro system fabrication,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112104162,Dr. Shantanu Bhattacharya,IIT Kanpur
Advanced Manufacturing Processes,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112107078,Dr. A. K. Sharma,IIT Roorkee
Advanced Operations Research,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112106131,Prof. G. Srinivasan,IIT Madras
Advanced Strength of Materials,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112101095,Prof. S.K. Maiti,IIT Bombay
Basic Thermodynamics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112105123,Prof. S.K. Som,IIT Kharagpur
Biomicroelectromechanical systems,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112104029,Dr. Shantanu Bhattacharya,IIT Kanpur
Computational Fluid Dynamics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112105045,Prof. S. Chakraborty,IIT Kharagpur
Computational Fluid Dynamics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112107079,Dr. K. M. Singh,IIT Roorkee
Computer Aided Design and Manufacturing,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112102101,Prof. P.V. Madhusudan Rao,Prof. Anoop Chawla,IIT Delhi
Computer Aided Engineering Design,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112104031,Dr. Anupam Saxena,IIT Kanpur
Conduction And Radiation,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112106155,Prof. C. Balaji,IIT Madras
Convective Heat and Mass Transfer,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112101002,Prof. A.W. Date,IIT Bombay
Convective Heat Transfer,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112106170,Prof. Ajit K. Kolar,Dr. Arvind Pattamatta,IIT Madras
Cryogenic Engineering,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112101004,Prof. M.D. Atrey,IIT Bombay
Design and Optimization of Energy systems,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112106064,Prof. C. Balaji,IIT Madras
Design of Machine Elements I,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112105124,Prof. B. Maiti,Prof. S.K. Roychowdhury,Prof. G. Chakraborty,IIT Kharagpur
Dynamics of Machines,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112104114,Prof. Amitabha Ghosh,IIT Kanpur
Engineering Drawing,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112104172,Dr. Anupam Saxena,IIT Kanpur
Engineering Fracture Mechanics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112106065,Prof. K. Ramesh,IIT Madras
Engineering Mechanics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112103108,Dr. G. Saravana Kumar,Prof. U.S. Dixit,IIT Guwahati
Experimental Stress Analysis,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112106068,Prof. K. Ramesh,IIT Madras
Finite Element Method,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112104115,Prof. C.S. Upadhyay,IIT Kanpur
Fluid Mechanics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112105171,Prof. S.K. Som,IIT Kharagpur
Fundamentals of Industrial Oil Hydraulics and Pneumatics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112105047,Prof. R.N. Maiti,IIT Kharagpur
Fundamentals of Operations Research,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112106134,Prof. G. Srinivasan,IIT Madras
Gas Dynamics and  Propulsion,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112106166,Prof. V. Babu,IIT Madras
Heat and Mass Transfer,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112101097,Prof. S.P. Sukhatme,Prof. U.N. Gaitonde,IIT Bombay
Industrial Engineering,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112107143,Dr. D. K. Dwivedi,Dr. Pradeep Kumar,Dr. Inderdeep Singh ,Prof. P.K. Jain,IIT Roorkee
Introduction to Explosions and Explosion Safety,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112106177,Prof. K. Ramamurthi,IIT Madras
Introduction to Finite Element Method,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112106135,Dr. R. Krishnakumar,IIT Madras
Introduction to Fluid Machines and Compressible Flow,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112105182,Prof. S.K. Som,IIT Kharagpur
Introduction to Fluid Mechanics and Fluid Engineering,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112105183,Prof. S. Chakraborty,IIT Kharagpur
Kinematics of Machines,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112104121,Prof. Ashok K Mallik,IIT Kanpur
Machinery fault diagnosis and signal processing,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112105048,Prof. A.R. Mohanty,IIT Kharagpur
Manufacturing Processes I,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112107145,Dr. Inderdeep Singh ,Dr. D. K. Dwivedi,Dr. D. B. Karunakar,IIT Roorkee
Manufacturing Processes II,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112105126,Prof. A.B. Chattopadhyay,Prof. A.K. Chattopadhyay,Prof. S. Paul,IIT Kharagpur
Mathematical Methods in Engineering and Science,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112104035,Dr. Bhaskar Dasgupta,IIT Kanpur
Mechanical Measurements and Metrology,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112106138,Prof. S.P. Venkateshan,Prof. Shunmugam M. S,IIT Madras
Mechanical Vibrations,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112103112,Prof. S.K. Dwivedy,Prof. Rajiv Tiwari,IIT Guwahati
Micro and Smart Systems,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112108092,Prof. S. Gopalakrishnan,Prof. G.K. Anathasuresh,Prof. K.N. Bhat,Dr. K.J. Vinoy,IISc Bangalore
Micro fluidics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112105187,Prof. S. Chakraborty,IIT Kharagpur
Microfluidics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112106169,Dr. Ashis Kumar Sen,IIT Madras
NOC:Basics of Finite Element Analysis,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112104193,Prof. Nachiketa Tiwari,IIT Kanpur
NOC:Basics of Noise and Its Measurements,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112104194,Prof. Nachiketa Tiwari,IIT Kanpur
NOC:BioMEMS and Microsystems,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112104181,Dr. Shantanu Bhattacharya,IIT Kanpur
NOC:Conduction and Convection Heat Transfer,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112105192,Prof. S. Chakraborty,Prof. S.K. Som,IIT Kharagpur
NOC:Engineering Mechanics  Statics and Dynamics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112106180,Prof. Mahesh Panchagnula,IIT Madras
NOC:Foundation of Computational Fluid Dynamics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112106186,Dr.S.Vengadesan,IIT Madras
NOC:Fundamentals of Gas Dynamics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112106196,Prof.A. Sameen,IIT Madras
NOC:Introduction to Boundary Layers,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112106190,Dr. Rinku Mukherjee ,IIT Madras
NOC:Manufacturing Process Technology -Part I,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112104195,Dr. Shantanu Bhattacharya,IIT Kanpur
NOC:Manufacturing Systems Technology,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112104188,Dr. Shantanu Bhattacharya,IIT Kanpur
NOC:Manufacturing systems technology part II,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112104189,Dr. Shantanu Bhattacharya,IIT Kanpur
NOC:Vibrations of Structures,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112105197,Prof. A. Dasgupta,IIT Kharagpur
Nonlinear Vibration,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112103023,Prof. S.K. Dwivedy,IIT Guwahati
Principles of Mechanical Measurements,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112106140,Prof. R. Raman,IIT Madras
Processing of non metals,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112107086,Dr. Inderdeep Singh ,IIT Roorkee
Project and Production Management,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112102106,Prof. Arun Kanda,IIT Delhi
Refrigeration and Air Conditioning,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112105128,Prof. R.C. Arora,Prof. M. Ramgopal,IIT Kharagpur
Robotics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112101099,Prof. P. Seshu,Prof. B. Seth,Prof. P.S. Gandhi,Prof. C. Amarnath,Prof. K. Kurien Issac,IIT Bombay
Rocket Propulsion,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112106073,Prof. K. Ramamurthi,IIT madras
Solar Energy Technology,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112105051,Prof. V.V. Satyamurty,IIT Kharagpur
Spray Theory and Applications,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112106154,Dr. Paul E. Sojka ,Prof. Mahesh Panchagnula,IIT Madras
Strength of Materials,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112107147,Dr. S. P. Harsha,IIT Roorkee
Technology of Surface Coating,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112105053,Prof. A.K. Chattopadhyay,IIT Kharagpur
Theory & Practice of Rotor Dynamics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112103025,Prof. Rajiv Tiwari,IIT Guwahati
Tribology,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112102014,Dr. Harish Hirani ,IIT Delhi
Vibration control,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112107087,Dr. S. P. Harsha,IIT Roorkee
Vibration of Structures,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112105055,Prof. A. Dasgupta,IIT Kharagpur
Welding Engineering,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=112107089,Dr. D. K. Dwivedi,IIT Roorkee
