Course,Link,Faculty,Institute
Advanced ceramics for strategic applications,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=113105015,Prof. H.S. Maiti,IIT Kharagpur
Advanced Characterization Techniques,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=113104004,Dr. Krishanu Biswas,Prof.N.P.Gurao,IIT Kanpur
Advanced Materials and Processes,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=113105057,Prof. B.S. Murty,IIT Kharagpur
Advanced Metallurgical Thermodynamics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=113106031,Prof. B.S. Murty,IIT Madras
Electroceramics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=113104006,Dr. Ashish Garg,IIT Kanpur
Electronic materials; devices; and fabrication,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=113106062,Prof. Parasuraman S,IIT Madras
Environmental Degradation of Materials,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=113104061,Dr. Kallol Mondal,IIT Kanpur
Fuels Refractory and Furnaces,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=113104008,Prof. Satish Ch. Koria ,IIT Kanpur
Introduction to Biomaterials,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=113104009,Dr. Birkamjit Basu,Dr. Kantesh Balani,IIT Kanpur
Materials and Energy balance in Metallurgical Processes,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=113104010,Prof. Satish Ch. Koria ,IIT Kanpur
NOC:Analysis and Modeling of Welding,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=113106067,Dr. G. Phanikumar,IIT Madras
NOC:Fundamentals of electronic materials and devices(Course sponsored by Aricent),http://textofvideo.nptel.iitm.ac.in/video.php?courseId=113106065,Prof. Parasuraman S,IIT Madras
NOC:Fundamentals of optical and scanning electron microscopy,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=113106064,Dr. S. Sankaran,IIT Madras
NOC:Introduction to Reciprocal Space and its use in Solids,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=113106066,Dr. Prathap Haridoss,IIT Madras
NOC:Phase Diagrams in Materials Science and Engineering,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=113104068,Dr. Krishanu Biswas,IIT Kanpur
Non-ferrous Extractive Metallurgy,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=113105021,Prof. H.S. Ray,Mr. L Pugazhenthy,IIT Kharagpur
Optoelectronic Materials and Devices,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=113104012,Prof. Monica Katiyar,Prof. Deepak Gupta,IIT Kanpur
Physics of Materials,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=113106039,Dr. Prathap Haridoss,IIT Madras
Principles of Physical Metallurgy,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=113105024,Prof. R.N. Ghosh,IIT Kharagpur
Processing of Semiconducting Materials,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=113105025,Dr. Pallab Banerji,IIT Kharagpur
Science and Technology of Polymers,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=113105028,Prof. B. Adhikari,IIT Kharagpur
Steel Making,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=113104013,Prof. Satish Ch. Koria ,Prof. Dipak Mazumdar,IIT Kanpur
Structure of Materials,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=113104014,Dr. Anandh Subramaniam,IIT Kanpur
