Course,Link,Faculty,Institute
Advanced Marine Structures,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=114106037,Dr. Srinivasan Chandrasekaran,IIT Madras
Applied Thermodynamics for Marine Systems,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=114105029,Prof. P.K. Das,IIT Kharagpur
Coastal Engineering,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=114106032,Prof. V. Sundar,IIT Madras
Design of Offshore Structures,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=114106011,Dr. S. Nallayarasu,IIT Madras
Dynamics of Ocean Structures,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=114106036,Dr. Srinivasan Chandrasekaran,IIT Madras
Elements of Ocean Engineering,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=114105002,Dr. Ashoke Bhar ,IIT Kharagpur
Foundation for Offshore Structures,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=114106015,Dr. S. Nallayarasu,IIT Madras
Health;Safety and Environmental Management in Petroleum and Offshore Engineering,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=114106017,Dr. Srinivasan Chandrasekaran,IIT Madras
Hydrostatics and Stability,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=114105003,Dr. Hari V. Warrior,IIT Kharagpur
Marine Construction and Welding,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=114105004,Prof. N.R. Mandal,IIT Kharagpur
Marine Hydrodynamics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=114105005,Dr. T. Sahoo,IIT Kharagpur
NOC:Dynamics of Ocean Structures,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=114106038,Dr. Srinivasan Chandrasekaran,IIT Madras
NOC:Health; Safety and Environmental Management in Offshore and Petroleum Engineering,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=114106039,Dr. Srinivasan Chandrasekaran,IIT Madras
NOC:HSE for offshore and petroleum engineers-Practices,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=114106042,Dr. Srinivasan Chandrasekaran,IIT Madras
NOC:Risk and Reliability of offshore structures,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=114106041,Dr. Srinivasan Chandrasekaran,IIT Madras
Ocean Structures and Materials,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=114106035,Dr. Srinivasan Chandrasekaran,IIT Madras
Performance of Marine Vehicles at Sea,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=114105030,Prof. S.C. Misra,Prof. Debabrata Sen,IIT Kharagpur
Port and Harbour Structures,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=114106025,Prof. R. Sundaravadivelu,IIT Madras
Seakeeping & Manoeuvring,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=114105006,Prof. Debabrata Sen,IIT Kharagpur
Ship Resistance and Propulsion,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=114106026,Dr. P. Krishnankutty,Prof. V. Anantha Subramanian,IIT Madras
Strength and Vibration of Marine Structures,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=114105031,Prof. S.K. Satsangi,Prof. A.H. Sheikh,IIT Kharagpur
Wave Hydrodynamics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=114106033,Prof. V. Sundar,IIT Madras
