Course,Link,Faculty,Institute
Astrophysics & Cosmology,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=115105046,Prof. S. Bharadwaj,IIT Kharagpur
Classical Field Theory,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=115106058,Prof. Suresh Govindarajan,IIT Madras
Condensed Matter Physics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=115106061,Prof. G. Rangarajan,IIT Madras
Electromagnetic Theory,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=115101005,Prof. D.K. Ghosh,IIT Bombay
Electronics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=115102014,Prof. D.C. Dube,IIT Delhi
NOC: Mechanics; heat oscillations and waves,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=115106090,Prof. V. Balakrishnan,IIT Madras
NOC:Introduction to Electromagnetism,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=115104088,Prof. Manoj K Harbola,IIT Kanpur
Nuclear Physics: Fundamentals and Applications,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=115104043,Prof. H.C. Verma,IIT Kanpur
NUCLEAR REACTORS AND SAFETY- AN INTRODUCTION,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=115106087,Dr.G.Vaidyanathan,IIT Madras
Physical Applications of Stochastic Processes,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=115106089,Prof. V. Balakrishnan,IIT Madras
Plasma Physics: Fundamentals and Applications,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=115102020,Prof. Vijayshri,Prof. V.K. Tripathi,IIT Delhi
Quantum Electronics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=115102022,Prof. K. Thyagarajan,IIT Delhi
Quantum Field Theory,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=115106065,Dr. Prasanta Tripathy,IIT Madras
Quantum Mechanics and Applications,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=115102023,Prof. Ajoy Ghatak,IIT Delhi
Quantum Mechanics I,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=115106066,Prof. S. Lakshmi Bala,IIT Madras
Relativistic Quantum Mechanics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=115108074,Prof. Apoorva D Patel,IISc Bangalore
Selected Topics in Mathematical Physics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=115106086,Prof. V. Balakrishnan,IIT Madras
Semiconductor Optoelectronics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=115102026,Prof. M. R. Shenoy,IIT Delhi
Special Theory of Relativity,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=115101011,Prof. Shiva Prasad,IIT Bombay
Special/Select Topics in Atomic Physics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=115106057,Prof. P.C. Deshmukh,IIT Madras
Special/Select Topics in Classical Mechanics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=115106068,Prof. P.C. Deshmukh,IIT Madras
Special/Select Topics in the Theory of Atomic Collisions and Spectroscopy,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=115106085,Prof. P.C. Deshmukh,IIT Madras
Topics in Nonlinear Dynamics,http://textofvideo.nptel.iitm.ac.in/video.php?courseId=115106059,Prof. V. Balakrishnan,IIT Madras
